Category: Business & Industrial,,,,,
,,,,,
Month,Orica: (New South Wales),Hardman: (New South Wales),Coogee Chemicals: (New South Wales),Cleveland Bay: (New South Wales),Omega Chemicals: (New South Wales)
2004-01,53,19,0,0,0
2004-02,32,0,0,0,0
2004-03,38,0,0,0,0
2004-04,61,0,0,0,0
2004-05,72,0,0,0,0
2004-06,37,0,0,0,0
2004-07,37,0,0,0,0
2004-08,41,11,0,0,0
2004-09,10,11,0,10,0
2004-10,77,12,11,0,0
2004-11,34,0,0,0,0
2004-12,59,25,0,0,0
2005-01,40,0,0,0,0
2005-02,100,0,0,0,0
2005-03,32,0,0,0,0
2005-04,80,0,0,0,0
2005-05,36,0,7,0,0
2005-06,46,8,0,0,0
2005-07,15,0,0,0,0
2005-08,40,7,0,0,0
2005-09,73,0,0,0,0
2005-10,38,7,0,0,0
2005-11,46,7,7,0,0
2005-12,65,0,0,0,0
2006-01,67,13,0,0,0
2006-02,49,0,0,0,0
2006-03,35,5,0,0,0
2006-04,27,0,0,0,0
2006-05,42,5,5,0,0
2006-06,30,5,5,0,0
2006-07,47,10,0,0,0
2006-08,34,0,0,0,0
2006-09,31,9,5,0,0
2006-10,29,0,0,0,0
2006-11,39,0,0,0,0
2006-12,32,5,0,0,0
2007-01,27,4,0,0,0
2007-02,44,13,0,0,0
2007-03,65,0,0,0,0
2007-04,54,0,0,0,0
2007-05,60,3,3,0,0
2007-06,59,3,0,0,0
2007-07,33,3,3,3,0
2007-08,36,0,0,0,0
2007-09,39,0,0,0,0
2007-10,33,0,0,0,0
2007-11,42,3,3,0,0
2007-12,37,0,0,0,0
2008-01,31,0,0,0,0
2008-02,25,0,0,0,0
2008-03,32,0,0,0,0
2008-04,55,0,0,0,0
2008-05,36,0,4,0,0
2008-06,30,2,0,0,0
2008-07,36,2,2,0,0
2008-08,38,4,0,0,0
2008-09,32,2,0,0,0
2008-10,41,2,0,0,0
2008-11,32,2,0,0,0
2008-12,26,0,2,0,0
2009-01,30,0,0,0,0
2009-02,38,0,0,0,0
2009-03,26,0,2,0,0
2009-04,40,0,0,0,0
2009-05,26,0,2,0,0
2009-06,23,0,0,0,0
2009-07,20,0,0,0,0
2009-08,32,0,0,0,0
2009-09,26,0,0,0,0
2009-10,29,0,0,2,0
2009-11,33,2,2,0,0
2009-12,19,0,0,0,0
2010-01,24,0,0,0,0
2010-02,23,2,0,0,0
2010-03,37,0,0,0,0
2010-04,26,0,0,0,0
2010-05,33,0,2,0,0
2010-06,40,0,0,0,0
2010-07,28,0,0,0,0
2010-08,26,0,0,0,0
2010-09,24,0,0,0,0
2010-10,26,0,0,0,0
2010-11,26,0,3,0,0
2010-12,22,0,0,0,0
2011-01,21,0,0,0,0
2011-02,28,1,0,0,0
2011-03,26,0,0,0,0
2011-04,33,0,0,0,0
2011-05,22,0,0,0,0
2011-06,30,0,0,0,0
2011-07,12,0,0,0,0
2011-08,65,0,0,0,0
2011-09,51,4,2,0,0
2011-10,32,1,1,0,0
2011-11,64,1,0,0,0
2011-12,41,0,0,0,0
2012-01,34,0,0,0,0
2012-02,47,0,0,0,0
2012-03,38,1,0,0,0
2012-04,42,1,0,1,0
2012-05,53,1,1,0,0
2012-06,43,1,1,0,0
2012-07,34,1,0,0,0
2012-08,20,2,2,0,0
2012-09,40,1,1,0,0
2012-10,29,0,0,0,0
2012-11,30,2,0,0,0
2012-12,28,0,0,1,0
2013-01,35,2,1,0,0
2013-02,27,0,1,0,0
2013-03,39,0,0,0,0
2013-04,32,0,1,0,0
2013-05,29,1,0,1,0
2013-06,33,2,0,0,0
2013-07,64,1,1,0,0
2013-08,29,1,1,0,0
2013-09,37,0,0,0,0
2013-10,30,1,0,0,0
2013-11,22,1,1,0,0
2013-12,21,0,0,0,0
2014-01,23,0,0,0,0
2014-02,28,2,0,0,0
2014-03,24,1,1,0,0
2014-04,21,0,0,0,0
2014-05,42,1,2,0,0
2014-06,27,0,0,0,0
2014-07,47,1,1,0,0
2014-08,21,0,1,0,0
2014-09,23,2,1,0,0
2014-10,24,1,0,0,0
2014-11,22,1,0,1,0
2014-12,22,0,2,0,0
2015-01,19,0,0,0,0
2015-02,20,1,0,0,0
2015-03,31,1,0,0,0
