date,Ixom,Coogee Chemicals,Cleveland Bay Chemicals,Nalco Water,Omega Chemicals,isPartial
2015-03-01,0,100,0,0,0,False
2015-04-01,48,0,0,0,0,False
2015-05-01,0,0,0,0,0,False
2015-06-01,0,0,0,0,0,False
2015-07-01,0,0,0,0,0,False
2015-08-01,41,87,0,41,0,False
2015-09-01,43,45,0,0,0,False
2015-10-01,0,44,0,0,0,False
2015-11-01,0,0,0,0,0,False
2015-12-01,0,0,0,0,0,False
2016-01-01,0,0,0,0,0,False
2016-02-01,0,0,0,0,0,False
2016-03-01,0,87,0,0,0,False
2016-04-01,44,0,0,0,0,False
2016-05-01,84,44,0,0,0,False
2016-06-01,0,0,0,0,0,False
2016-07-01,45,0,0,0,0,False
2016-08-01,0,0,0,0,0,False
2016-09-01,0,0,0,0,0,False
2016-10-01,0,46,0,44,0,False
2016-11-01,0,46,0,0,0,False
2016-12-01,44,0,0,0,0,False
2017-01-01,0,0,0,0,0,False
2017-02-01,44,46,0,44,0,False
2017-03-01,0,0,0,0,0,False
2017-04-01,0,0,0,42,0,False
2017-05-01,0,42,0,0,0,False
2017-06-01,43,0,0,43,0,False
2017-07-01,0,0,0,43,0,False
2017-08-01,0,83,0,0,0,False
2017-09-01,0,0,0,0,0,False
2017-10-01,0,0,0,37,0,False
2017-11-01,39,41,0,0,0,False
2017-12-01,0,44,0,0,0,False
2018-01-01,76,0,0,38,0,False
2018-02-01,0,43,0,0,0,False
2018-03-01,0,0,0,0,0,False
2018-04-01,76,0,0,0,0,False
2018-05-01,37,0,0,0,0,False
2018-06-01,0,40,0,0,0,False
2018-07-01,0,0,0,38,0,False
2018-08-01,0,0,0,0,0,False
2018-09-01,39,0,0,0,0,False
2018-10-01,0,0,0,0,0,False
2018-11-01,0,40,0,0,0,False
2018-12-01,40,0,0,0,0,False
2019-01-01,0,0,0,0,0,False
2019-02-01,41,43,0,0,0,False
2019-03-01,0,0,0,0,0,False
2019-04-01,0,0,0,0,0,False
2019-05-01,36,0,0,0,0,False
2019-06-01,0,0,0,0,0,False
2019-07-01,0,38,0,36,0,False
2019-08-01,71,74,0,0,0,False
2019-09-01,36,38,0,0,0,False
2019-10-01,34,0,0,0,0,False
2019-11-01,36,75,0,0,0,False
2019-12-01,36,38,0,0,0,False
2020-01-01,0,35,0,0,0,False
2020-02-01,35,37,0,35,0,False
2020-03-01,0,0,0,0,0,False
2020-04-01,31,0,0,0,0,False
2020-05-01,61,32,0,0,0,False
2020-06-01,0,0,0,0,0,False
2020-07-01,0,0,0,0,0,False
2020-08-01,33,0,0,33,0,False
2020-09-01,35,0,0,0,0,False
2020-10-01,36,0,0,0,0,False
2020-11-01,0,0,0,0,0,False
2020-12-01,0,0,0,0,0,False
2021-01-01,0,0,0,0,0,False
2021-02-01,0,0,0,0,0,False
2021-03-01,0,37,0,0,0,False
2021-04-01,36,0,0,0,0,False
2021-05-01,0,37,0,0,0,False
2021-06-01,0,38,0,0,0,False
2021-07-01,0,0,0,0,0,False
2021-08-01,35,0,0,35,0,False
2021-09-01,0,0,0,39,0,False
2021-10-01,36,0,0,0,0,False
2021-11-01,36,77,0,0,0,False
2021-12-01,75,0,0,0,0,False
2022-01-01,35,0,0,0,0,False
2022-02-01,40,0,0,0,0,False
2022-03-01,0,0,0,0,0,False
